GUID_LOCK_CONSOLE_ON_WAKE 0x0E796BDB, 0x100D, 0x47D6, 0xA2, 0xD5, 0xF7, 0xD2, 0xDA, 0xA5, 0x1F, 0x51
GUID_INTSTEER_MODE 0x2BFC24F9, 0x5EA2, 0x4801, 0x82, 0x13, 0x3D, 0xBA, 0xE0, 0x1A, 0xA3, 0x9D
DBSCHEMA_CATALOGS 0xC8B52211, 0x5CF3, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
GUID_PROCESSOR_PERF_INCREASE_HISTORY 0x99B3EF01, 0x752F, 0x46A1, 0x80, 0xFB, 0x77, 0x30, 0x01, 0x1F, 0x23, 0x54
GUID_PROCESSOR_PERF_INCREASE_POLICY 0x465E1F50, 0xB610, 0x473A, 0xAB, 0x58, 0x00, 0xD1, 0x07, 0x7D, 0xC4, 0x18
GUID_DEVICE_POWER_POLICY_VIDEO_BRIGHTNESS 0xADED5E82, 0xB909, 0x4619, 0x99, 0x49, 0xF5, 0xD7, 0x1D, 0xAC, 0x0B, 0xCB
DBOBJECT_CHARACTERSET 0xC8B522ED, 0x5CF3, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
IID_IADsGroup 0x27636B00, 0x410F, 0x11CF, 0xB1, 0xFF, 0x02, 0x60, 0x8C, 0x9E, 0x75, 0x53
GUID_PROCESSOR_CORE_PARKING_AFFINITY_HISTORY_DECREASE_FACTOR 0x8F7B45E3, 0xC393, 0x480A, 0x87, 0x8C, 0xF6, 0x7A, 0xC3, 0xD0, 0x70, 0x82
GUID_PROCESSOR_CORE_PARKING_INCREASE_THRESHOLD 0xDF142941, 0x20F3, 0x4EDF, 0x9A, 0x4A, 0x9C, 0x83, 0xD3, 0xD7, 0x17, 0xD1
IID_IKernelTransaction 0x79427A2B, 0xF895, 0x40E0, 0xBE, 0x79, 0xB5, 0x7D, 0xC8, 0x2E, 0xD2, 0x31
GUID_PROCESSOR_PARKING_PERF_STATE_1 0x447235C7, 0x6A8D, 0x4CC0, 0x8E, 0x24, 0x9E, 0xAF, 0x70, 0xB9, 0x6E, 0x2C
CLSID_Path 0xB2538919, 0x4080, 0x11D1, 0xA3, 0xAC, 0x00, 0xC0, 0x4F, 0xB9, 0x50, 0xDC
DBSCHEMA_COLUMN_DOMAIN_USAGE 0xC8B5221B, 0x5CF3, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
DBSCHEMA_PROCEDURES 0xC8B52224, 0x5CF3, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
GUID_PROCESSOR_CORE_PARKING_OVER_UTILIZATION_HISTORY_THRESHOLD 0x9AC18E92, 0xAA3C, 0x4E27, 0xB3, 0x07, 0x01, 0xAE, 0x37, 0x30, 0x71, 0x29
DBCOL_SELFCOLUMNS 0xC8B52231, 0x5CF3, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
IID_IADsPropertyEntry 0x05792C8E, 0x941F, 0x11D0, 0x85, 0x29, 0x00, 0xC0, 0x4F, 0xD8, 0xD5, 0x03
